"id"	"title"	"subtitle"	"time"	"directory"	"size"	"json"
"jm651891"	"｜嗯，我也要和老师做色色的事情。 [山樱汉化] (C104) [叶が红 (立石くれは)] ん、私ともえっちなことをやるべき。(ブルーアーカイブ)[DL版]"	"立石くれは"	"1729862105738"	"｜嗯，我也要和老师做色色的事情。 [山樱汉化] (C104) [叶が红 (立石くれは)] ん、私ともえっちなことをやるべき。(ブルーアーカイブ)[DL版]"	"11.4976711273193"	"{""comic"":{""name"":""｜嗯，我也要和老师做色色的事情。 [山樱汉化] (C104) [叶が红 (立石くれは)] ん、私ともえっちなことをやるべき。(ブルーアーカイブ)[DL版]"",""id"":""651891"",""author"":[""立石くれは""],""description"":"""",""likes"":"""",""views"":"""",""series"":{""1"":""651891""},""tags"":[""C104"",""巨乳"",""兽耳"",""中出"",""中文""],""relatedComics"":[],""liked"":"""",""favorite"":"""",""epNames"":[]},""size"":11.497671127319336,""downloadedChapters"":[0]}"
"jm544009"	"[カマボコ工房 (釜ボコ)] 双子メスガキ 熊系ちんぽをいただく [中国翻译]"	"釜ボコ"	"1729862153967"	"[カマボコ工房 (釜ボコ)] 双子メスガキ 熊系ちんぽをいただく [中国翻译]"	"50.8023452758789"	"{""comic"":{""name"":""[カマボコ工房 (釜ボコ)] 双子メスガキ 熊系ちんぽをいただく [中国翻译]"",""id"":""544009"",""author"":[""釜ボコ""],""description"":""https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_325612/强烈请求喜欢该作的绅士们请购买原版来支持作者。"",""likes"":"""",""views"":"""",""series"":{""1"":""544009""},""tags"":[""C103"",""巨乳"",""纯爱"",""口交"",""群交"",""过膝袜"",""中文""],""relatedComics"":[],""liked"":"""",""favorite"":"""",""epNames"":[]},""size"":50.802345275878906,""downloadedChapters"":[0]}"
"jm652082"	"[火兔汉化组] (けもケット15) [にゃんこね (ro)] メスガキケモロリひめかちゃんがロリコンおじさんなんかに负けるわけがない!! 2  "	"ro"	"1729913023363"	"[火兔汉化组] (けもケット15) [にゃんこね (ro)] メスガキケモロリひめかちゃんがロリコンおじさんなんかに负けるわけがない!! 2"	"30.6137065887451"	"{""comic"":{""name"":""[火兔汉化组] (けもケット15) [にゃんこね (ro)] メスガキケモロリひめかちゃんがロリコンおじさんなんかに负けるわけがない!! 2  "",""id"":""652082"",""author"":[""ro""],""description"":"""",""likes"":"""",""views"":"""",""series"":{""1"":""652082""},""tags"":[""阿黑颜"",""肛交"",""口交"",""毛绒绒"",""萝莉"",""中出"",""性玩具"",""潮吹"",""中文""],""relatedComics"":[],""liked"":"""",""favorite"":"""",""epNames"":[]},""size"":30.613706588745117,""downloadedChapters"":[0]}"
"jm515225"	"Asagiriai（愛ちゃん）回複術士的重啟人生-芙蕾雅"	"Asagiriai"	"1730006589857"	"Asagiriai（愛ちゃん）回複術士的重啟人生-芙蕾雅"	"25.7216157913208"	"{""comic"":{""name"":""Asagiriai（愛ちゃん）回複術士的重啟人生-芙蕾雅"",""id"":""515225"",""author"":[""Asagiriai"",""愛ちゃん""],""description"":"""",""likes"":"""",""views"":"""",""series"":{""1"":""515225""},""tags"":[""Cosplay""],""relatedComics"":[],""liked"":"""",""favorite"":"""",""epNames"":[]},""size"":25.7216157913208,""downloadedChapters"":[0]}"
"jm650756"	"Asagiriai (爱ちゃん) cosplay Nahida – Genshin Impact"	"朝雾爱"	"1730022418432"	"Asagiriai (爱ちゃん) cosplay Nahida – Genshin Impact"	"16.2347784042358"	"{""comic"":{""name"":""Asagiriai (爱ちゃん) cosplay Nahida – Genshin Impact"",""id"":""650756"",""author"":[""朝雾爱""],""description"":"""",""likes"":"""",""views"":"""",""series"":{""1"":""650756""},""tags"":[""cosplay""],""relatedComics"":[],""liked"":"""",""favorite"":"""",""epNames"":[]},""size"":16.23477840423584,""downloadedChapters"":[0]}"
"jm1727"	"萌白酱170414"	"萌白酱"	"1730022430323"	"萌白酱170414"	"1.44441032409668"	"{""comic"":{""name"":""萌白酱170414"",""id"":""1727"",""author"":[""萌白酱""],""description"":"""",""likes"":"""",""views"":"""",""series"":{""1"":""1727""},""tags"":[""cosplay""],""relatedComics"":[],""liked"":"""",""favorite"":"""",""epNames"":[]},""size"":1.4444103240966797,""downloadedChapters"":[0]}"
"jm2402"	"萌白酱粉睡衣"	"萌白酱"	"1730022441056"	"萌白酱粉睡衣"	"1.42482280731201"	"{""comic"":{""name"":""萌白酱粉睡衣"",""id"":""2402"",""author"":[""萌白酱""],""description"":"""",""likes"":"""",""views"":"""",""series"":{""1"":""2402""},""tags"":[""Cosplay""],""relatedComics"":[],""liked"":"""",""favorite"":"""",""epNames"":[]},""size"":1.4248228073120117,""downloadedChapters"":[0]}"
"jm484065"	"Asagiriai（爱ちゃん）Elysia爱莉希雅"	"爱ちゃん"	"1730022505083"	"Asagiriai（爱ちゃん）Elysia爱莉希雅"	"24.9588890075684"	"{""comic"":{""name"":""Asagiriai（爱ちゃん）Elysia爱莉希雅"",""id"":""484065"",""author"":[""爱ちゃん""],""description"":"""",""likes"":"""",""views"":"""",""series"":{""1"":""484065""},""tags"":[""cosplay"",""妖精"",""手套"",""高跟鞋"",""女僕"",""乳贴"",""过膝袜""],""relatedComics"":[],""liked"":"""",""favorite"":"""",""epNames"":[]},""size"":24.95888900756836,""downloadedChapters"":[0]}"
"jm484073"	"Asagiriai（爱ちゃん）- 珊瑚宫心海 [34P-406MB]"	"爱ちゃん"	"1730022545987"	"Asagiriai（爱ちゃん）- 珊瑚宫心海 [34P-406MB]"	"27.4226942062378"	"{""comic"":{""name"":""Asagiriai（爱ちゃん）- 珊瑚宫心海 [34P-406MB]"",""id"":""484073"",""author"":[""爱ちゃん""],""description"":"""",""likes"":"""",""views"":"""",""series"":{""1"":""484073""},""tags"":[""cosplay"",""阿黑颜"",""手套"",""内衣"",""连裤袜"",""乳贴""],""relatedComics"":[],""liked"":"""",""favorite"":"""",""epNames"":[]},""size"":27.422694206237793,""downloadedChapters"":[0]}"
"jm1013165"	"笑面教授的宠溺攻势 就这程度为师怎么输!? [欶澜汉化组]  [りむちゃんち (うにクリームコロッケ)] ニヤニヤ教授のあま责めごときに负けないが!? (ブルーアーカイブ) [中国翻译] [DL版]"	"うにクリームコロッケ"	"1730290518340"	"笑面教授的宠溺攻势 就这程度为师怎么输!  [欶澜汉化组]  [りむちゃんち (うにクリームコロッケ)] ニヤニヤ教授のあま责めごときに负けないが!  (ブルーアーカイブ) [中国翻译] [DL版]"	"133.063534736633"	"{""comic"":{""name"":""笑面教授的宠溺攻势 就这程度为师怎么输!? [欶澜汉化组]  [りむちゃんち (うにクリームコロッケ)] ニヤニヤ教授のあま责めごときに负けないが!? (ブルーアーカイブ) [中国翻译] [DL版]"",""id"":""1013165"",""author"":[""うにクリームコロッケ""],""description"":"""",""likes"":"""",""views"":"""",""series"":{""1"":""1013165""},""tags"":[""女性支配"",""手淫"",""萝莉"",""连裤袜"",""中文""],""relatedComics"":[],""liked"":"""",""favorite"":"""",""epNames"":[]},""size"":133.0635347366333,""downloadedChapters"":[0]}"
